file_names,original_script,fluency,spoken_text,remarks
26a86046-5253-87b4-4adc-fb9d591f0c1f_24,看到朋友开心起来 我很快乐,1,可得朋友可小花 我和  ,
26a86046-5253-87b4-4adc-fb9d591f0c1f_25,爸爸妈妈说 当朋友有需要 你应该关心他们,1,乐乐 爸爸妈妈是 当朋友有喜赢  你彭大小他们,
26a86046-5253-87b4-4adc-fb9d591f0c1f_26,可以帮助到别人 我很骄傲,1,可以包只 到人 我和自昂,
26a86046-5253-87b4-4adc-fb9d591f0c1f_3,一只青蛙蹲坐在叶子上,2,一只砰 哇 当 坐在叶子下,
26a86046-5253-87b4-4adc-fb9d591f0c1f_4,公园里 水池边,1,一一水成,
26a86046-5253-87b4-4adc-fb9d591f0c1f_5,一 二 三 四,3,一 二 三 是,
26a86046-5253-87b4-4adc-fb9d591f0c1f_6,妹妹 哥哥 弟弟三个人 和一只小鸭子,3,妹妹 哥哥 弟弟山个人 和一只小一子,
26a86046-5253-87b4-4adc-fb9d591f0c1f_7,他们都在大声唱歌,2,他们到坐大十唱歌,
26a86046-5253-87b4-4adc-fb9d591f0c1f_8,小鸭子游泳 也呱呱叫,2,小姨子有用 也各各只,
26a86046-5253-87b4-4adc-fb9d591f0c1f_9,我的名字是张四光,2,我的门 名字是张 十 更,
2b2daf4a-1d49-7430-cbcb-c42c66795c78_0,树枝上有一个鸟窝,2, 上有一个鸟 ,
2b2daf4a-1d49-7430-cbcb-c42c66795c78_1,鸟儿们住在鸟窝里,1,鸟儿们鸟,
2b2daf4a-1d49-7430-cbcb-c42c66795c78_10,我今年七岁,2,我今 七 ,
2b2daf4a-1d49-7430-cbcb-c42c66795c78_11,我是阳光小学一年级的学生,2,我是阳光小雪 一的,
2b2daf4a-1d49-7430-cbcb-c42c66795c78_12,学校就在我家不远的地方,3,学校 在我家不园的地方,
2b2daf4a-1d49-7430-cbcb-c42c66795c78_13,学校又大又美丽,3,学校有大有美,
2b2daf4a-1d49-7430-cbcb-c42c66795c78_14,学校也很干净,3,学校也很干 ,
2b2daf4a-1d49-7430-cbcb-c42c66795c78_15,我爱我的学校,4,,
2b2daf4a-1d49-7430-cbcb-c42c66795c78_16,文云是我的朋友,3,文允是我的朋友,
2b2daf4a-1d49-7430-cbcb-c42c66795c78_17,有一次 她伤心地哭了,3,有乙次 她上心地哭了,
2b2daf4a-1d49-7430-cbcb-c42c66795c78_18,因为她丢了钱包,1,文她 了 包,
2b2daf4a-1d49-7430-cbcb-c42c66795c78_19,我很同情她,1,我和吐,
2b2daf4a-1d49-7430-cbcb-c42c66795c78_2,一片绿叶浮在水中间,1,一在水中间,
2b2daf4a-1d49-7430-cbcb-c42c66795c78_20,我约她去食堂,2,我 她去食汤,
2b2daf4a-1d49-7430-cbcb-c42c66795c78_21,我买了一碗粥给她吃,2,我卖了一 她吃,
2b2daf4a-1d49-7430-cbcb-c42c66795c78_22,我还买了一包牛奶给文云,2,我还美做一包奶 文云,
2b2daf4a-1d49-7430-cbcb-c42c66795c78_23,文云抱了我一下 跟我说 谢谢你,2,文云包了我一下 我是,
2b2daf4a-1d49-7430-cbcb-c42c66795c78_24,看到朋友开心起来 我很快乐,2,看的朋友开心 来 我很 乐,
2b2daf4a-1d49-7430-cbcb-c42c66795c78_25,爸爸妈妈说 当朋友有需要 你应该关心他们,2,爸爸妈妈说 当朋友有  心他们,
2b2daf4a-1d49-7430-cbcb-c42c66795c78_26,可以帮助到别人 我很骄傲,2,可以帮助他人 我而骄,
2b2daf4a-1d49-7430-cbcb-c42c66795c78_3,一只青蛙蹲坐在叶子上,1,一只 坐在 子下,
2b2daf4a-1d49-7430-cbcb-c42c66795c78_4,公园里 水池边,2,公云 水边,
2b2daf4a-1d49-7430-cbcb-c42c66795c78_5,一 二 三 四,4,,
2b2daf4a-1d49-7430-cbcb-c42c66795c78_6,妹妹 哥哥 弟弟三个人 和一只小鸭子,3,,
2b2daf4a-1d49-7430-cbcb-c42c66795c78_7,他们都在大声唱歌,3,他们 在大声常歌,
2b2daf4a-1d49-7430-cbcb-c42c66795c78_8,小鸭子游泳 也呱呱叫,2,小鸭子游泳 易 也 叫,
2b2daf4a-1d49-7430-cbcb-c42c66795c78_9,我的名字是张四光,2,我的名字是,
30f2b2ad-3a1a-c7f9-9d91-bceaafccd2d4_0,树枝上有一个鸟窝,4,,
30f2b2ad-3a1a-c7f9-9d91-bceaafccd2d4_1,鸟儿们住在鸟窝里,4,,
30f2b2ad-3a1a-c7f9-9d91-bceaafccd2d4_10,我今年七岁,3,,
30f2b2ad-3a1a-c7f9-9d91-bceaafccd2d4_11,我是阳光小学一年级的学生,3,,
30f2b2ad-3a1a-c7f9-9d91-bceaafccd2d4_12,学校就在我家不远的地方,3,学校距我的家不远的地方,
30f2b2ad-3a1a-c7f9-9d91-bceaafccd2d4_13,学校又大又美丽,3,学校有大有美丽,
30f2b2ad-3a1a-c7f9-9d91-bceaafccd2d4_14,学校也很干净,4,,
30f2b2ad-3a1a-c7f9-9d91-bceaafccd2d4_15,我爱我的学校,4,,
30f2b2ad-3a1a-c7f9-9d91-bceaafccd2d4_16,文云是我的朋友,4,,
30f2b2ad-3a1a-c7f9-9d91-bceaafccd2d4_17,有一次 她伤心地哭了,3,有一次 她上心地哭了,
30f2b2ad-3a1a-c7f9-9d91-bceaafccd2d4_18,因为她丢了钱包,2,因为印微 她的 她对了钱包,
30f2b2ad-3a1a-c7f9-9d91-bceaafccd2d4_19,我很同情她,4,,
30f2b2ad-3a1a-c7f9-9d91-bceaafccd2d4_2,一片绿叶浮在水中间,3,一片叶子浮在水中间,
30f2b2ad-3a1a-c7f9-9d91-bceaafccd2d4_20,我约她去食堂,3,我月她师去食堂,
30f2b2ad-3a1a-c7f9-9d91-bceaafccd2d4_21,我买了一碗粥给她吃,4,,
30f2b2ad-3a1a-c7f9-9d91-bceaafccd2d4_22,我还买了一包牛奶给文云,3,,
30f2b2ad-3a1a-c7f9-9d91-bceaafccd2d4_23,文云抱了我一下 跟我说 谢谢你,3,文云宝了我一下 跟我说 谢谢你,
30f2b2ad-3a1a-c7f9-9d91-bceaafccd2d4_24,看到朋友开心起来 我很快乐,4,,
30f2b2ad-3a1a-c7f9-9d91-bceaafccd2d4_25,爸爸妈妈说 当朋友有需要 你应该关心他们,2,爸爸妈妈说 当朋友 要  你应该 你用乖 看 心他们,
30f2b2ad-3a1a-c7f9-9d91-bceaafccd2d4_26,可以帮助到别人 我很骄傲,3,可以帮助到别人 我很京傲,
30f2b2ad-3a1a-c7f9-9d91-bceaafccd2d4_3,一只青蛙蹲坐在叶子上,3,一只青蛙蹲作业 在叶子上,
30f2b2ad-3a1a-c7f9-9d91-bceaafccd2d4_4,公园里 水池边,3,刚园里 水池边,
30f2b2ad-3a1a-c7f9-9d91-bceaafccd2d4_5,一 二 三 四,3, 二 三 四,
30f2b2ad-3a1a-c7f9-9d91-bceaafccd2d4_6,妹妹 哥哥 弟弟三个人 和一只小鸭子,3,妹妹 哥哥 弟弟山个人 和一只 ,
30f2b2ad-3a1a-c7f9-9d91-bceaafccd2d4_7,他们都在大声唱歌,4,,
30f2b2ad-3a1a-c7f9-9d91-bceaafccd2d4_8,小鸭子游泳 也呱呱叫,4,,
30f2b2ad-3a1a-c7f9-9d91-bceaafccd2d4_9,我的名字是张四光,3,我的名字是刚师关,
31cbc171-3670-243c-d50f-872ac9f8e541_0,树枝上有一个鸟窝,4,,
31cbc171-3670-243c-d50f-872ac9f8e541_1,鸟儿们住在鸟窝里,4,,
31cbc171-3670-243c-d50f-872ac9f8e541_10,我今年七岁,4,,
31cbc171-3670-243c-d50f-872ac9f8e541_11,我是阳光小学一年级的学生,4,,
31cbc171-3670-243c-d50f-872ac9f8e541_12,学校就在我家不远的地方,3,,
31cbc171-3670-243c-d50f-872ac9f8e541_13,学校又大又美丽,3,学校又大又,
31cbc171-3670-243c-d50f-872ac9f8e541_14,学校也很干净,3,学校也干净,
31cbc171-3670-243c-d50f-872ac9f8e541_15,我爱我的学校,4,,
31cbc171-3670-243c-d50f-872ac9f8e541_16,文云是我的朋友,4,,
31cbc171-3670-243c-d50f-872ac9f8e541_17,有一次 她伤心地哭了,4,,
31cbc171-3670-243c-d50f-872ac9f8e541_18,因为她丢了钱包,4,,
31cbc171-3670-243c-d50f-872ac9f8e541_19,我很同情她,4,,
31cbc171-3670-243c-d50f-872ac9f8e541_2,一片绿叶浮在水中间,4,,
31cbc171-3670-243c-d50f-872ac9f8e541_20,我约她去食堂,4,,
31cbc171-3670-243c-d50f-872ac9f8e541_21,我买了一碗粥给她吃,4,,
31cbc171-3670-243c-d50f-872ac9f8e541_22,我还买了一包牛奶给文云,4,,
31cbc171-3670-243c-d50f-872ac9f8e541_23,文云抱了我一下 跟我说 谢谢你,4,,
31cbc171-3670-243c-d50f-872ac9f8e541_24,看到朋友开心起来 我很快乐,4,,
31cbc171-3670-243c-d50f-872ac9f8e541_25,爸爸妈妈说 当朋友有需要 你应该关心他们,4,,
31cbc171-3670-243c-d50f-872ac9f8e541_26,可以帮助到别人 我很骄傲,4,,
31cbc171-3670-243c-d50f-872ac9f8e541_3,一只青蛙蹲坐在叶子上,4,,
31cbc171-3670-243c-d50f-872ac9f8e541_4,公园里 水池边,4,,
31cbc171-3670-243c-d50f-872ac9f8e541_5,一 二 三 四,4,,
31cbc171-3670-243c-d50f-872ac9f8e541_6,妹妹 哥哥 弟弟三个人 和一只小鸭子,4,,
31cbc171-3670-243c-d50f-872ac9f8e541_7,他们都在大声唱歌,4,,
31cbc171-3670-243c-d50f-872ac9f8e541_8,小鸭子游泳 也呱呱叫,4,,
31cbc171-3670-243c-d50f-872ac9f8e541_9,我的名字是张四光,4,,
33a72c10-ffd6-20b0-89df-b5be1243879a_0,树枝上有一个鸟窝,3,树枝上有一只鸟窝,
33a72c10-ffd6-20b0-89df-b5be1243879a_1,鸟儿们住在鸟窝里,4,,
33a72c10-ffd6-20b0-89df-b5be1243879a_10,我今年七岁,4,,
33a72c10-ffd6-20b0-89df-b5be1243879a_11,我是阳光小学一年级的学生,4,,
33a72c10-ffd6-20b0-89df-b5be1243879a_12,学校就在我家不远的地方,4,,
33a72c10-ffd6-20b0-89df-b5be1243879a_13,学校又大又美丽,4,,
33a72c10-ffd6-20b0-89df-b5be1243879a_14,学校也很干净,4,,
33a72c10-ffd6-20b0-89df-b5be1243879a_15,我爱我的学校,4,,
33a72c10-ffd6-20b0-89df-b5be1243879a_16,文云是我的朋友,4,,
33a72c10-ffd6-20b0-89df-b5be1243879a_17,有一次 她伤心地哭了,4,,
33a72c10-ffd6-20b0-89df-b5be1243879a_18,因为她丢了钱包,4,,
33a72c10-ffd6-20b0-89df-b5be1243879a_19,我很同情她,4,,
33a72c10-ffd6-20b0-89df-b5be1243879a_2,一片绿叶浮在水中间,4,,
33a72c10-ffd6-20b0-89df-b5be1243879a_20,我约她去食堂,3,我劝她去食堂,
33a72c10-ffd6-20b0-89df-b5be1243879a_21,我买了一碗粥给她吃,3,我买了一载粥给她吃,
33a72c10-ffd6-20b0-89df-b5be1243879a_22,我还买了一包牛奶给文云,4,,
33a72c10-ffd6-20b0-89df-b5be1243879a_23,文云抱了我一下 跟我说 谢谢你,4,,
33a72c10-ffd6-20b0-89df-b5be1243879a_24,看到朋友开心起来 我很快乐,4,,
33a72c10-ffd6-20b0-89df-b5be1243879a_25,爸爸妈妈说 当朋友有需要 你应该关心他们,4,,
33a72c10-ffd6-20b0-89df-b5be1243879a_26,可以帮助到别人 我很骄傲,4,,
33a72c10-ffd6-20b0-89df-b5be1243879a_3,一只青蛙蹲坐在叶子上,4,,
33a72c10-ffd6-20b0-89df-b5be1243879a_4,公园里 水池边,4,,
33a72c10-ffd6-20b0-89df-b5be1243879a_5,一 二 三 四,4,,
33a72c10-ffd6-20b0-89df-b5be1243879a_6,妹妹 哥哥 弟弟三个人 和一只小鸭子,4,,
33a72c10-ffd6-20b0-89df-b5be1243879a_7,他们都在大声唱歌,4,,
33a72c10-ffd6-20b0-89df-b5be1243879a_8,小鸭子游泳 也呱呱叫,4,,
33a72c10-ffd6-20b0-89df-b5be1243879a_9,我的名字是张四光,4,,
35b81424-5ae4-5865-5f36-7dd1daac6541_0,树枝上有一个鸟窝,4,,
35b81424-5ae4-5865-5f36-7dd1daac6541_1,鸟儿们住在鸟窝里,4,,
35b81424-5ae4-5865-5f36-7dd1daac6541_10,我今年七岁,4,,
35b81424-5ae4-5865-5f36-7dd1daac6541_11,我是阳光小学一年级的学生,4,,
35b81424-5ae4-5865-5f36-7dd1daac6541_12,学校就在我家不远的地方,4,,
35b81424-5ae4-5865-5f36-7dd1daac6541_13,学校又大又美丽,4,,
35b81424-5ae4-5865-5f36-7dd1daac6541_14,学校也很干净,4,,
35b81424-5ae4-5865-5f36-7dd1daac6541_15,我爱我的学校,4,,
35b81424-5ae4-5865-5f36-7dd1daac6541_16,文云是我的朋友,4,,
35b81424-5ae4-5865-5f36-7dd1daac6541_17,有一次 她伤心地哭了,4,,
35b81424-5ae4-5865-5f36-7dd1daac6541_18,因为她丢了钱包,4,,
35b81424-5ae4-5865-5f36-7dd1daac6541_19,我很同情她,4,,
35b81424-5ae4-5865-5f36-7dd1daac6541_2,一片绿叶浮在水中间,4,,
35b81424-5ae4-5865-5f36-7dd1daac6541_20,我约她去食堂,4,,
35b81424-5ae4-5865-5f36-7dd1daac6541_21,我买了一碗粥给她吃,4,,
35b81424-5ae4-5865-5f36-7dd1daac6541_22,我还买了一包牛奶给文云,4,,
35b81424-5ae4-5865-5f36-7dd1daac6541_23,文云抱了我一下 跟我说 谢谢你,4,,
35b81424-5ae4-5865-5f36-7dd1daac6541_24,看到朋友开心起来 我很快乐,4,,
35b81424-5ae4-5865-5f36-7dd1daac6541_25,爸爸妈妈说 当朋友有需要 你应该关心他们,4,,
35b81424-5ae4-5865-5f36-7dd1daac6541_26,可以帮助到别人 我很骄傲,4,,
35b81424-5ae4-5865-5f36-7dd1daac6541_3,一只青蛙蹲坐在叶子上,4,,
35b81424-5ae4-5865-5f36-7dd1daac6541_4,公园里 水池边,4,,
35b81424-5ae4-5865-5f36-7dd1daac6541_5,一 二 三 四,4,,
35b81424-5ae4-5865-5f36-7dd1daac6541_6,妹妹 哥哥 弟弟三个人 和一只小鸭子,4,,
35b81424-5ae4-5865-5f36-7dd1daac6541_7,他们都在大声唱歌,4,,
35b81424-5ae4-5865-5f36-7dd1daac6541_8,小鸭子游泳 也呱呱叫,4,,
35b81424-5ae4-5865-5f36-7dd1daac6541_9,我的名字是张四光,3,我的名字是张西 光,
38a67eb9-f1ee-22df-2951-b936a681b1cf_0,树枝上有一个鸟窝,3,树上有一个鸟窝,
38a67eb9-f1ee-22df-2951-b936a681b1cf_1,鸟儿们住在鸟窝里,3,鸟 们 在鸟窝里,
38a67eb9-f1ee-22df-2951-b936a681b1cf_2,一片绿叶浮在水中间,3,一吕轻浮在水中间,
38a67eb9-f1ee-22df-2951-b936a681b1cf_3,一只青蛙蹲坐在叶子上,2,一只青蛙 坐在 上,
38a67eb9-f1ee-22df-2951-b936a681b1cf_4,公园里 水池边,3,公园里 水 边,
38a67eb9-f1ee-22df-2951-b936a681b1cf_5,一 二 三 四,4,,
38a67eb9-f1ee-22df-2951-b936a681b1cf_6,妹妹 哥哥 弟弟三个人 和一只小鸭子,4,,
38a67eb9-f1ee-22df-2951-b936a681b1cf_7,他们都在大声唱歌,3,他们都在大 唱歌 搭还 唱歌,
38a67eb9-f1ee-22df-2951-b936a681b1cf_8,小鸭子游泳 也呱呱叫,2,小鸭子  也呱呱叫,
3a49ee2c-c515-6640-91a0-c514b8d84aba_0,树枝上有一个鸟窝,1,树 上有一个 ,
3a49ee2c-c515-6640-91a0-c514b8d84aba_1,鸟儿们住在鸟窝里,3,,
3a49ee2c-c515-6640-91a0-c514b8d84aba_10,我今年七岁,3,我今年是七岁,
3a49ee2c-c515-6640-91a0-c514b8d84aba_11,我是阳光小学一年级的学生,2,我 小学一年级的学 ,
3a49ee2c-c515-6640-91a0-c514b8d84aba_12,学校就在我家不远的地方,3,,
3a49ee2c-c515-6640-91a0-c514b8d84aba_13,学校又大又美丽,3,,
3a49ee2c-c515-6640-91a0-c514b8d84aba_14,学校也很干净,3,学校也很干干净,
3a49ee2c-c515-6640-91a0-c514b8d84aba_15,我爱我的学校,4,,
3a49ee2c-c515-6640-91a0-c514b8d84aba_2,一片绿叶浮在水中间,1, 在水中间,
3a49ee2c-c515-6640-91a0-c514b8d84aba_3,一只青蛙蹲坐在叶子上,2,一只 坐在叶子上,
3a49ee2c-c515-6640-91a0-c514b8d84aba_4,公园里 水池边,3,公园里 水池,
3a49ee2c-c515-6640-91a0-c514b8d84aba_5,一 二 三 四,4,,
3a49ee2c-c515-6640-91a0-c514b8d84aba_6,妹妹 哥哥 弟弟三个人 和一只小鸭子,3,,
3a49ee2c-c515-6640-91a0-c514b8d84aba_7,他们都在大声唱歌,3,他们都在大声唱,
3a49ee2c-c515-6640-91a0-c514b8d84aba_8,小鸭子游泳 也呱呱叫,3,小鸭子游窝 呱呱叫,
3a49ee2c-c515-6640-91a0-c514b8d84aba_9,我的名字是张四光,1,名字是,
3b225cfb-e29b-345a-46eb-b633a07fdddf_0,树枝上有一个鸟窝,3,,
3b225cfb-e29b-345a-46eb-b633a07fdddf_1,鸟儿们住在鸟窝里,3,,
3b225cfb-e29b-345a-46eb-b633a07fdddf_10,我今年七岁,4,,
3b225cfb-e29b-345a-46eb-b633a07fdddf_11,我是阳光小学一年级的学生,4,,
3b225cfb-e29b-345a-46eb-b633a07fdddf_12,学校就在我家不远的地方,3,学校就在不远 我家不远的地方,
3b225cfb-e29b-345a-46eb-b633a07fdddf_13,学校又大又美丽,3,学校有大有美丽,
3b225cfb-e29b-345a-46eb-b633a07fdddf_14,学校也很干净,3,,
3b225cfb-e29b-345a-46eb-b633a07fdddf_15,我爱我的学校,1,,
3b225cfb-e29b-345a-46eb-b633a07fdddf_16,文云是我的朋友,4,,
3b225cfb-e29b-345a-46eb-b633a07fdddf_17,有一次 她伤心地哭了,3,,
3b225cfb-e29b-345a-46eb-b633a07fdddf_18,因为她丢了钱包,3,,
3b225cfb-e29b-345a-46eb-b633a07fdddf_19,我很同情她,2,,
3b225cfb-e29b-345a-46eb-b633a07fdddf_2,一片绿叶浮在水中间,3,,
3b225cfb-e29b-345a-46eb-b633a07fdddf_20,我约她去食堂,3,我于她去学堂,
3b225cfb-e29b-345a-46eb-b633a07fdddf_21,我买了一碗粥给她吃,3,,
3b225cfb-e29b-345a-46eb-b633a07fdddf_22,我还买了一包牛奶给文云,2,,noisy
3b225cfb-e29b-345a-46eb-b633a07fdddf_23,文云抱了我一下 跟我说 谢谢你,1,,noisy
3b225cfb-e29b-345a-46eb-b633a07fdddf_24,看到朋友开心起来 我很快乐,3,,noisy
3b225cfb-e29b-345a-46eb-b633a07fdddf_25,爸爸妈妈说 当朋友有需要 你应该关心他们,2,,noisy
3b225cfb-e29b-345a-46eb-b633a07fdddf_26,可以帮助到别人 我很骄傲,3,可以帮助到别人 我横骄傲,
3b225cfb-e29b-345a-46eb-b633a07fdddf_3,一只青蛙蹲坐在叶子上,4,,
3b225cfb-e29b-345a-46eb-b633a07fdddf_4,公园里 水池边,3,,
3b225cfb-e29b-345a-46eb-b633a07fdddf_5,一 二 三 四,4,,
3b225cfb-e29b-345a-46eb-b633a07fdddf_6,妹妹 哥哥 弟弟三个人 和一只小鸭子,4,,
3b225cfb-e29b-345a-46eb-b633a07fdddf_7,他们都在大声唱歌,4,,
3b225cfb-e29b-345a-46eb-b633a07fdddf_8,小鸭子游泳 也呱呱叫,3,,
3b225cfb-e29b-345a-46eb-b633a07fdddf_9,我的名字是张四光,4,,
3c6f7357-8ba7-51a4-ef88-9425e1da49ea_0,树枝上有一个鸟窝,1,,"too soft, cannot hear"
3c6f7357-8ba7-51a4-ef88-9425e1da49ea_1,鸟儿们住在鸟窝里,1,,"too soft, cannot hear"
3c6f7357-8ba7-51a4-ef88-9425e1da49ea_10,我今年七岁,1,,"too soft, cannot hear"
3c6f7357-8ba7-51a4-ef88-9425e1da49ea_11,我是阳光小学一年级的学生,1,,"too soft, cannot hear"
3c6f7357-8ba7-51a4-ef88-9425e1da49ea_12,学校就在我家不远的地方,1,,"too soft, cannot hear"
3c6f7357-8ba7-51a4-ef88-9425e1da49ea_13,学校又大又美丽,1,,"too soft, cannot hear"
3c6f7357-8ba7-51a4-ef88-9425e1da49ea_16,文云是我的朋友,1,,"too soft, cannot hear"
3c6f7357-8ba7-51a4-ef88-9425e1da49ea_17,有一次 她伤心地哭了,1,,"too soft, cannot hear"
3c6f7357-8ba7-51a4-ef88-9425e1da49ea_18,因为她丢了钱包,1,,"too soft, cannot hear"
3c6f7357-8ba7-51a4-ef88-9425e1da49ea_19,我很同情她,1,,"too soft, cannot hear"
3c6f7357-8ba7-51a4-ef88-9425e1da49ea_2,一片绿叶浮在水中间,1,,"too soft, cannot hear"
3c6f7357-8ba7-51a4-ef88-9425e1da49ea_20,我约她去食堂,1,,"too soft, cannot hear"
3c6f7357-8ba7-51a4-ef88-9425e1da49ea_21,我买了一碗粥给她吃,1,,"too soft, cannot hear"
3c6f7357-8ba7-51a4-ef88-9425e1da49ea_22,我还买了一包牛奶给文云,1,,"too soft, cannot hear"
3c6f7357-8ba7-51a4-ef88-9425e1da49ea_23,文云抱了我一下 跟我说 谢谢你,1,,"too soft, cannot hear"
3c6f7357-8ba7-51a4-ef88-9425e1da49ea_24,看到朋友开心起来 我很快乐,1,,"too soft, cannot hear"
3c6f7357-8ba7-51a4-ef88-9425e1da49ea_25,爸爸妈妈说 当朋友有需要 你应该关心他们,1,,"too soft, cannot hear"
3c6f7357-8ba7-51a4-ef88-9425e1da49ea_26,可以帮助到别人 我很骄傲,1,,"too soft, cannot hear"
3c6f7357-8ba7-51a4-ef88-9425e1da49ea_3,一只青蛙蹲坐在叶子上,1,,"too soft, cannot hear"
3c6f7357-8ba7-51a4-ef88-9425e1da49ea_4,公园里 水池边,1,,"too soft, cannot hear"
3c6f7357-8ba7-51a4-ef88-9425e1da49ea_5,一 二 三 四,1,,"too soft, cannot hear"
3c6f7357-8ba7-51a4-ef88-9425e1da49ea_6,妹妹 哥哥 弟弟三个人 和一只小鸭子,1,,"too soft, cannot hear"
3c6f7357-8ba7-51a4-ef88-9425e1da49ea_7,他们都在大声唱歌,1,,"too soft, cannot hear"
3c6f7357-8ba7-51a4-ef88-9425e1da49ea_8,小鸭子游泳 也呱呱叫,1,,"too soft, cannot hear"
3c6f7357-8ba7-51a4-ef88-9425e1da49ea_9,我的名字是张四光,1,,"too soft, cannot hear"
3d2fa9e2-c96e-efb0-a160-0c4aa5133287_0,树枝上有一个鸟窝,3,树桌上有一个小窝,
3d2fa9e2-c96e-efb0-a160-0c4aa5133287_1,鸟儿们住在鸟窝里,3,,
3d2fa9e2-c96e-efb0-a160-0c4aa5133287_10,我今年七岁,3,我今年是七岁,
3d2fa9e2-c96e-efb0-a160-0c4aa5133287_11,我是阳光小学一年级的学生,4,,
3d2fa9e2-c96e-efb0-a160-0c4aa5133287_12,学校就在我家不远的地方,2,学校聚在我家 不选 的 不选 地方,
3d2fa9e2-c96e-efb0-a160-0c4aa5133287_13,学校又大又美丽,3,学校有大有美丽,
3d2fa9e2-c96e-efb0-a160-0c4aa5133287_14,学校也很干净,3,,
3d2fa9e2-c96e-efb0-a160-0c4aa5133287_15,我爱我的学校,4,,
3d2fa9e2-c96e-efb0-a160-0c4aa5133287_16,文云是我的朋友,3,英文是我的朋友,
3d2fa9e2-c96e-efb0-a160-0c4aa5133287_17,有一次 她伤心地哭了,3,有的次 她上心地哭了,
3d2fa9e2-c96e-efb0-a160-0c4aa5133287_18,因为她丢了钱包,2,因为她到米气包,
3d2fa9e2-c96e-efb0-a160-0c4aa5133287_19,我很同情她,2,我我很同京京 她,
3d2fa9e2-c96e-efb0-a160-0c4aa5133287_2,一片绿叶浮在水中间,2,一 随 在水中间,
3d2fa9e2-c96e-efb0-a160-0c4aa5133287_20,我约她去食堂,3,我有她去食堂,
3d2fa9e2-c96e-efb0-a160-0c4aa5133287_21,我买了一碗粥给她吃,2,我米了一碗肘各她赤,
3d2fa9e2-c96e-efb0-a160-0c4aa5133287_22,我还买了一包牛奶给文云,2,我还没有 还买一包牛奶各云文,
3d2fa9e2-c96e-efb0-a160-0c4aa5133287_23,文云抱了我一下 跟我说 谢谢你,3,文云抱了我爷下 跟我收 谢谢你,
3d2fa9e2-c96e-efb0-a160-0c4aa5133287_24,看到朋友开心起来 我很快乐,4,,
3d2fa9e2-c96e-efb0-a160-0c4aa5133287_25,爸爸妈妈说 当朋友有需要 你应该关心他们,3,爸爸妈妈说 当朋友有先要 你应该关心他们,
3d2fa9e2-c96e-efb0-a160-0c4aa5133287_26,可以帮助到别人 我很骄傲,2,知道 到本人 我很高兴,
3d2fa9e2-c96e-efb0-a160-0c4aa5133287_3,一只青蛙蹲坐在叶子上,2,一至青蛙蹲坐在也子上,
3d2fa9e2-c96e-efb0-a160-0c4aa5133287_4,公园里 水池边,2,公船里 水边,
3d2fa9e2-c96e-efb0-a160-0c4aa5133287_5,一 二 三 四,4,,
3d2fa9e2-c96e-efb0-a160-0c4aa5133287_6,妹妹 哥哥 弟弟三个人 和一只小鸭子,4,,
3d2fa9e2-c96e-efb0-a160-0c4aa5133287_7,他们都在大声唱歌,3,他们都在 拉 大声唱歌,
3d2fa9e2-c96e-efb0-a160-0c4aa5133287_8,小鸭子游泳 也呱呱叫,3,,
3d2fa9e2-c96e-efb0-a160-0c4aa5133287_9,我的名字是张四光,3,我的名字是张是装,
3f44ff9d-04ad-d338-2b6e-8992975286b9_0,树枝上有一个鸟窝,3,,
3f44ff9d-04ad-d338-2b6e-8992975286b9_1,鸟儿们住在鸟窝里,3,鸟儿也住在鸟我里,
3f44ff9d-04ad-d338-2b6e-8992975286b9_10,我今年七岁,3,我今天七岁,
3f44ff9d-04ad-d338-2b6e-8992975286b9_11,我是阳光小学一年级的学生,3,我是阳光小学一年鸡的雪省,
3f44ff9d-04ad-d338-2b6e-8992975286b9_12,学校就在我家不远的地方,4,,
3f44ff9d-04ad-d338-2b6e-8992975286b9_13,学校又大又美丽,3,学校由大有美丽,
3f44ff9d-04ad-d338-2b6e-8992975286b9_14,学校也很干净,3,学小也很干净,
3f44ff9d-04ad-d338-2b6e-8992975286b9_15,我爱我的学校,4,,
3f44ff9d-04ad-d338-2b6e-8992975286b9_16,文云是我的朋友,4,,
3f44ff9d-04ad-d338-2b6e-8992975286b9_17,有一次 她伤心地哭了,4,,
3f44ff9d-04ad-d338-2b6e-8992975286b9_18,因为她丢了钱包,2,因为她的 她读了千包,
3f44ff9d-04ad-d338-2b6e-8992975286b9_19,我很同情她,3,我痕同轻她,
3f44ff9d-04ad-d338-2b6e-8992975286b9_2,一片绿叶浮在水中间,3,一片李叶浮在水里中间,
3f44ff9d-04ad-d338-2b6e-8992975286b9_20,我约她去食堂,3,,
3f44ff9d-04ad-d338-2b6e-8992975286b9_21,我买了一碗粥给她吃,3,我买了一碗 水 给她吃,
3f44ff9d-04ad-d338-2b6e-8992975286b9_22,我还买了一包牛奶给文云,3,我还没了一包牛奶给文云,
3f44ff9d-04ad-d338-2b6e-8992975286b9_23,文云抱了我一下 跟我说 谢谢你,3,文云宝 了我一下 跟我说 谢谢你,
3f44ff9d-04ad-d338-2b6e-8992975286b9_24,看到朋友开心起来 我很快乐,3,看到朋友开心期来 我痕快乐,
3f44ff9d-04ad-d338-2b6e-8992975286b9_25,爸爸妈妈说 当朋友有需要 你应该关心他们,3,爸爸妈妈说 当朋友有需要 你京该关心他们,
